lg_nw,w_nw,h_nw,t_ox,N_sd,eps_ox,index
18,4,3,1.5,2.0e+20,22,71
14,4,2,0.5,2.0e+20,22,72
18,3,3,0.5,2.0e+20,3.9,73
20,3,2,0.5,5.0e+19,22,74
12,2,2,0.5,5.0e+19,3.9,75
14,2,2,1,2.0e+20,7.5,76
16,4,3,1.5,2.0e+20,7.5,77
12,4,4,0.5,1.0e+20,22,78
20,3,3,1,5.0e+19,22,79
18,3,3,0.5,5.0e+19,22,80
10,4,2,0.5,2.0e+20,3.9,81
20,4,2,0.5,5.0e+19,7.5,82
14,3,2,1.5,5.0e+19,22,83
12,3,3,0.5,2.0e+20,3.9,84
10,4,2,0.5,5.0e+19,22,85
18,4,4,1.5,5.0e+19,22,86
18,2,2,0.5,5.0e+19,3.9,87
14,4,2,1,5.0e+19,3.9,88
12,3,3,0.5,1.0e+20,22,89
14,3,2,1.5,2.0e+20,7.5,90
12,2,2,0.5,1.0e+20,3.9,91
20,4,4,0.5,2.0e+20,3.9,92
16,4,2,0.5,1.0e+20,3.9,93
10,4,4,0.5,5.0e+19,7.5,94
14,3,3,0.5,1.0e+20,3.9,95
10,3,2,1.5,2.0e+20,22,96
20,3,2,1,1.0e+20,22,97
16,4,4,1.5,1.0e+20,3.9,98
18,4,4,1.5,5.0e+19,7.5,99
18,4,3,0.5,1.0e+20,3.9,100
12,4,2,1.5,2.0e+20,3.9,101
20,4,3,1,2.0e+20,22,102
16,2,2,1.5,1.0e+20,22,103
10,2,2,1.5,5.0e+19,3.9,104
20,2,2,1.5,2.0e+20,7.5,105
14,4,3,0.5,2.0e+20,7.5,106
14,2,2,1.5,5.0e+19,22,107
16,4,3,0.5,2.0e+20,22,108
12,4,4,0.5,2.0e+20,22,109
16,4,3,0.5,1.0e+20,22,110
20,2,2,0.5,5.0e+19,22,111
20,3,2,1,2.0e+20,7.5,112
16,3,3,1.5,5.0e+19,22,113
16,3,3,1,2.0e+20,7.5,114
12,4,4,1,1.0e+20,7.5,115
16,4,4,1,5.0e+19,3.9,116
16,4,4,0.5,5.0e+19,22,117
16,3,2,1.5,1.0e+20,7.5,118
12,2,2,1,1.0e+20,7.5,119
10,2,2,1.5,2.0e+20,22,120
12,4,3,0.5,5.0e+19,22,121
16,4,3,1,1.0e+20,22,122
14,4,3,1.5,1.0e+20,7.5,123
16,3,2,1,1.0e+20,7.5,124
18,3,2,1,2.0e+20,7.5,125
12,4,3,1,1.0e+20,7.5,126
18,3,3,1.5,1.0e+20,7.5,127
12,3,3,1.5,2.0e+20,22,128
10,3,2,1,5.0e+19,7.5,129
20,4,4,1,2.0e+20,7.5,130
20,3,2,1.5,2.0e+20,22,131
16,4,4,0.5,1.0e+20,22,132
20,3,2,1,2.0e+20,22,133
18,3,3,1.5,2.0e+20,22,134
14,3,2,0.5,2.0e+20,22,135
10,3,3,1,2.0e+20,3.9,136
20,4,2,0.5,5.0e+19,22,137
18,3,3,1,5.0e+19,3.9,138
18,4,3,0.5,5.0e+19,22,139
14,4,2,1.5,5.0e+19,22,140
10,3,2,0.5,5.0e+19,22,141
18,4,4,1,2.0e+20,7.5,142
20,4,2,1,5.0e+19,22,143
12,2,2,1.5,1.0e+20,22,144
14,4,4,0.5,1.0e+20,7.5,145
10,4,4,1,5.0e+19,7.5,146
18,3,2,1.5,1.0e+20,7.5,147
16,4,3,1,1.0e+20,7.5,148
16,3,3,1,1.0e+20,22,149
14,4,4,1,1.0e+20,22,150
14,4,2,1.5,1.0e+20,7.5,151
16,3,2,1,5.0e+19,3.9,152
10,4,2,1.5,2.0e+20,22,153
18,4,4,0.5,2.0e+20,22,154
10,2,2,1.5,1.0e+20,7.5,155
16,2,2,1,1.0e+20,7.5,156
16,3,3,1.5,1.0e+20,7.5,157
16,3,3,0.5,1.0e+20,22,158
12,3,2,1,1.0e+20,7.5,159
20,3,3,1,5.0e+19,3.9,160
16,4,4,1,1.0e+20,7.5,161
14,3,2,0.5,5.0e+19,3.9,162
16,3,3,0.5,2.0e+20,22,163
20,4,4,1.5,5.0e+19,7.5,164
10,4,4,1.5,2.0e+20,3.9,165
20,4,4,1,2.0e+20,22,166
18,2,2,1.5,2.0e+20,7.5,167
20,4,3,1,1.0e+20,3.9,168
12,3,3,1.5,5.0e+19,7.5,169
14,4,3,1,2.0e+20,7.5,170
10,2,2,0.5,2.0e+20,7.5,171
20,2,2,0.5,5.0e+19,3.9,172
14,4,3,1.5,5.0e+19,3.9,173
14,2,2,0.5,2.0e+20,22,174
20,2,2,1,1.0e+20,3.9,175
16,4,3,1.5,5.0e+19,22,176
12,4,4,1.5,5.0e+19,22,177
12,4,3,0.5,1.0e+20,22,178
18,4,4,0.5,2.0e+20,3.9,179
12,4,2,0.5,5.0e+19,7.5,180
12,2,2,1,2.0e+20,3.9,181
10,2,2,1,1.0e+20,22,182
20,4,4,1,1.0e+20,3.9,183
20,2,2,1.5,2.0e+20,22,184
20,3,3,0.5,2.0e+20,3.9,185
10,3,3,0.5,5.0e+19,7.5,186
18,4,2,0.5,1.0e+20,3.9,187
12,3,3,0.5,5.0e+19,22,188
12,4,2,1,5.0e+19,7.5,189
12,4,4,0.5,2.0e+20,3.9,190
16,3,2,1.5,5.0e+19,3.9,191
18,4,2,0.5,5.0e+19,7.5,192
10,4,2,1.5,5.0e+19,7.5,193
20,4,2,1.5,2.0e+20,3.9,194
18,4,4,1.5,1.0e+20,3.9,195
14,3,2,0.5,1.0e+20,3.9,196
20,4,2,1,1.0e+20,22,197
16,4,3,0.5,1.0e+20,3.9,198
12,2,2,1.5,2.0e+20,7.5,199
16,4,4,1.5,2.0e+20,22,200
16,4,3,0.5,5.0e+19,3.9,201
18,3,3,1.5,5.0e+19,7.5,202
10,2,2,0.5,5.0e+19,22,203
12,4,3,1.5,2.0e+20,22,204
20,4,3,1.5,2.0e+20,22,205
14,3,2,1,2.0e+20,3.9,206
16,4,2,1.5,2.0e+20,3.9,207
18,3,2,0.5,2.0e+20,7.5,208
14,4,3,0.5,2.0e+20,22,209
16,2,2,1.5,5.0e+19,22,210
10,4,3,0.5,2.0e+20,7.5,211
14,2,2,1.5,5.0e+19,3.9,212
20,4,3,0.5,5.0e+19,3.9,213
18,4,2,1.5,2.0e+20,22,214
10,4,4,0.5,2.0e+20,22,215
20,3,3,0.5,5.0e+19,22,216
14,3,2,1.5,1.0e+20,22,217
16,3,3,0.5,2.0e+20,3.9,218
18,4,3,1.5,2.0e+20,7.5,219
12,4,4,1,2.0e+20,7.5,220
14,3,3,1.5,5.0e+19,22,221
18,3,2,0.5,5.0e+19,22,222
20,3,2,1.5,5.0e+19,3.9,223
10,3,2,1.5,2.0e+20,7.5,224
14,4,4,0.5,5.0e+19,7.5,225
12,4,2,1,1.0e+20,22,226
12,4,3,1.5,2.0e+20,7.5,227
12,3,3,1,5.0e+19,3.9,228
16,2,2,0.5,5.0e+19,3.9,229
14,4,4,0.5,5.0e+19,22,230
10,4,3,0.5,5.0e+19,22,231
12,2,2,1.5,2.0e+20,22,232
12,4,2,1,1.0e+20,7.5,233
14,4,2,0.5,2.0e+20,3.9,234
18,3,3,0.5,1.0e+20,7.5,235
20,4,4,1.5,5.0e+19,22,236
16,3,2,0.5,1.0e+20,7.5,237
16,4,4,1.5,5.0e+19,7.5,238
16,3,3,1,1.0e+20,7.5,239
10,3,3,1.5,2.0e+20,22,240
14,4,3,0.5,1.0e+20,7.5,241
12,3,2,0.5,2.0e+20,7.5,242
14,3,3,1.5,2.0e+20,3.9,243
18,2,2,0.5,5.0e+19,22,244
16,4,2,0.5,2.0e+20,22,245
20,2,2,1,2.0e+20,3.9,246
18,4,2,1,5.0e+19,7.5,247
16,3,2,1.5,5.0e+19,22,248
20,3,3,1,1.0e+20,3.9,249
20,3,2,1.5,1.0e+20,22,250
18,3,3,1.5,1.0e+20,22,251
10,4,2,1,2.0e+20,7.5,252
20,2,2,1.5,1.0e+20,7.5,253
18,4,4,1.5,1.0e+20,22,254
18,2,2,1,2.0e+20,3.9,255
16,4,4,0.5,1.0e+20,3.9,256
10,2,2,1,5.0e+19,3.9,257
12,4,2,0.5,5.0e+19,22,258
18,4,3,1.5,1.0e+20,3.9,259
16,4,2,1.5,1.0e+20,3.9,260
12,2,2,1.5,1.0e+20,3.9,261
20,4,2,1,5.0e+19,7.5,262
14,3,3,1.5,1.0e+20,3.9,263
12,3,2,1.5,2.0e+20,22,264
16,4,3,1,5.0e+19,7.5,265
10,4,2,1.5,1.0e+20,22,266
20,4,3,1,5.0e+19,22,267
12,4,4,1,5.0e+19,3.9,268
10,3,2,1.5,5.0e+19,22,269
14,4,4,0.5,2.0e+20,3.9,270
20,3,2,1.5,2.0e+20,7.5,271
18,2,2,0.5,1.0e+20,7.5,272
10,3,2,1.5,5.0e+19,3.9,273
12,3,2,1.5,1.0e+20,22,274
18,4,3,1.5,5.0e+19,3.9,275
16,3,3,0.5,5.0e+19,7.5,276
10,4,3,0.5,5.0e+19,3.9,277
20,4,3,0.5,2.0e+20,7.5,278
14,2,2,1.5,2.0e+20,7.5,279
10,4,2,0.5,2.0e+20,22,280
18,4,4,1.5,2.0e+20,22,281
18,3,2,0.5,5.0e+19,3.9,282
16,4,2,1.5,5.0e+19,7.5,283
14,3,2,1,5.0e+19,7.5,284
12,4,3,0.5,1.0e+20,7.5,285
10,3,2,0.5,1.0e+20,7.5,286
20,3,2,0.5,2.0e+20,22,287
18,4,3,1,1.0e+20,7.5,288
14,3,3,1.5,5.0e+19,7.5,289
18,3,3,0.5,2.0e+20,22,290
14,3,2,1.5,2.0e+20,22,291
12,3,2,0.5,5.0e+19,3.9,292
16,4,4,1.5,2.0e+20,3.9,293
20,3,3,1,2.0e+20,22,294
20,4,2,1.5,5.0e+19,22,295
18,4,4,1,1.0e+20,7.5,296
14,4,2,0.5,5.0e+19,7.5,297
20,4,3,0.5,1.0e+20,3.9,298
10,4,3,1,1.0e+20,22,299
18,4,3,1.5,5.0e+19,22,300
12,4,3,1.5,5.0e+19,3.9,301
18,2,2,1,1.0e+20,7.5,302
16,2,2,0.5,2.0e+20,7.5,303
12,3,3,1,2.0e+20,7.5,304
14,4,2,0.5,5.0e+19,22,305
10,4,4,0.5,1.0e+20,3.9,306
10,4,2,1,5.0e+19,3.9,307
10,4,3,1,1.0e+20,3.9,308
18,4,2,1,2.0e+20,3.9,309
12,3,3,1.5,5.0e+19,22,310
10,4,4,1,1.0e+20,3.9,311
14,3,2,1,1.0e+20,3.9,312
12,3,3,1.5,1.0e+20,3.9,313
20,2,2,1,5.0e+19,7.5,314
10,2,2,1,1.0e+20,3.9,315
16,4,4,0.5,2.0e+20,22,316
10,4,2,1.5,1.0e+20,3.9,317
10,2,2,1.5,5.0e+19,22,318
12,4,3,0.5,2.0e+20,22,319
14,2,2,1.5,1.0e+20,3.9,320
16,3,3,1.5,2.0e+20,22,321
16,4,2,1.5,1.0e+20,22,322
16,4,3,1,2.0e+20,3.9,323
20,4,2,1,2.0e+20,3.9,324
14,2,2,1.5,2.0e+20,22,325
16,4,3,0.5,5.0e+19,22,326
12,4,4,0.5,5.0e+19,22,327
10,2,2,1,2.0e+20,7.5,328
20,3,3,1.5,1.0e+20,7.5,329
20,2,2,0.5,2.0e+20,22,330
18,2,2,1,5.0e+19,7.5,331
20,4,3,0.5,1.0e+20,22,332
14,4,4,1.5,5.0e+19,22,333
10,4,3,1.5,5.0e+19,22,334
12,2,2,0.5,2.0e+20,22,335
12,4,4,0.5,1.0e+20,7.5,336
18,3,3,1,2.0e+20,7.5,337
10,3,3,1,5.0e+19,7.5,338
20,4,4,0.5,5.0e+19,22,339
18,4,2,0.5,1.0e+20,22,340
10,3,3,0.5,2.0e+20,22,341
10,4,4,0.5,1.0e+20,22,342
10,3,3,1.5,1.0e+20,7.5,343
20,4,4,1,5.0e+19,3.9,344
12,4,2,1.5,1.0e+20,7.5,345
16,2,2,1.5,1.0e+20,7.5,346
20,3,3,1,2.0e+20,7.5,347
20,4,3,0.5,2.0e+20,22,348
10,3,3,0.5,1.0e+20,22,349
20,4,4,0.5,1.0e+20,3.9,350
16,3,2,1,2.0e+20,7.5,351
14,4,3,1.5,2.0e+20,22,352
16,2,2,0.5,5.0e+19,22,353
18,4,2,0.5,2.0e+20,22,354
10,4,4,1.5,2.0e+20,22,355
20,4,2,1.5,1.0e+20,3.9,356
10,4,4,1,2.0e+20,3.9,357
20,3,3,1.5,5.0e+19,22,358
14,2,2,1.5,1.0e+20,22,359
20,2,2,1,5.0e+19,22,360
14,3,2,1,1.0e+20,22,361
14,3,3,0.5,5.0e+19,22,362
18,3,3,1,1.0e+20,7.5,363
18,4,4,1,5.0e+19,3.9,364
18,3,2,1.5,5.0e+19,22,365
12,4,2,0.5,2.0e+20,3.9,366
12,2,2,1,5.0e+19,7.5,367
18,4,4,0.5,5.0e+19,7.5,368
14,4,3,0.5,1.0e+20,22,369
14,4,2,1,1.0e+20,3.9,370
10,2,2,0.5,5.0e+19,3.9,371
12,4,2,1.5,5.0e+19,22,372
14,4,3,1.5,2.0e+20,7.5,373
20,2,2,0.5,2.0e+20,7.5,374
18,3,3,1,1.0e+20,22,375
14,4,3,1,5.0e+19,3.9,376
12,3,3,1.5,2.0e+20,3.9,377
18,2,2,1.5,5.0e+19,3.9,378
12,3,2,0.5,2.0e+20,22,379
10,3,3,1,1.0e+20,3.9,380
10,4,3,0.5,1.0e+20,3.9,381
20,4,4,1.5,2.0e+20,3.9,382
10,4,4,1.5,5.0e+19,7.5,383
14,3,2,0.5,2.0e+20,7.5,384
12,3,2,0.5,1.0e+20,3.9,385
18,3,3,1.5,2.0e+20,3.9,386
12,2,2,1.5,5.0e+19,3.9,387
16,4,3,0.5,2.0e+20,7.5,388
18,2,2,1.5,5.0e+19,22,389
16,4,2,1.5,2.0e+20,22,390
10,4,2,1.5,2.0e+20,3.9,391
20,4,2,1.5,5.0e+19,7.5,392
20,2,2,1.5,1.0e+20,22,393
20,3,2,0.5,1.0e+20,7.5,394
18,4,2,0.5,2.0e+20,3.9,395
16,3,2,1.5,2.0e+20,7.5,396
16,3,2,0.5,5.0e+19,22,397
12,4,2,1,2.0e+20,3.9,398
12,4,4,0.5,5.0e+19,7.5,399
20,3,3,0.5,5.0e+19,7.5,400
10,3,3,0.5,2.0e+20,3.9,401
10,3,3,1.5,5.0e+19,22,402
12,3,3,0.5,1.0e+20,3.9,403
14,3,3,1,1.0e+20,3.9,404
14,2,2,0.5,1.0e+20,3.9,405
10,4,2,0.5,5.0e+19,7.5,406
20,4,2,0.5,2.0e+20,3.9,407
10,4,2,0.5,1.0e+20,3.9,408
14,4,4,0.5,1.0e+20,22,409
12,2,2,0.5,2.0e+20,7.5,410
16,4,3,1.5,5.0e+19,3.9,411
14,2,2,1,5.0e+19,3.9,412
18,3,3,0.5,5.0e+19,7.5,413
20,3,3,1.5,2.0e+20,3.9,414
10,3,3,1.5,5.0e+19,7.5,415
14,4,4,0.5,2.0e+20,22,416
10,4,3,0.5,2.0e+20,22,417
12,2,2,1.5,5.0e+19,22,418
18,4,3,1,1.0e+20,22,419
16,3,2,0.5,5.0e+19,3.9,420
18,4,2,1.5,5.0e+19,7.5,421
12,4,3,1,5.0e+19,7.5,422
12,4,4,1.5,2.0e+20,3.9,423
20,4,4,1.5,2.0e+20,22,424
10,4,2,1,1.0e+20,3.9,425
10,4,4,1.5,1.0e+20,3.9,426
10,2,2,1.5,2.0e+20,7.5,427
14,4,3,0.5,5.0e+19,3.9,428
20,2,2,1.5,5.0e+19,3.9,429
20,3,3,0.5,2.0e+20,22,430
10,2,2,1.5,1.0e+20,22,431
20,4,4,1,1.0e+20,22,432
14,3,3,1.5,2.0e+20,22,433
12,4,2,1.5,5.0e+19,7.5,434
18,4,4,1.5,2.0e+20,3.9,435
18,3,2,0.5,2.0e+20,22,436
20,3,3,0.5,1.0e+20,7.5,437
20,4,4,0.5,5.0e+19,7.5,438
10,4,4,0.5,2.0e+20,3.9,439
14,3,2,1.5,5.0e+19,3.9,440
20,4,3,1.5,5.0e+19,22,441
14,4,2,1,2.0e+20,7.5,442
14,3,3,0.5,1.0e+20,22,443
18,2,2,0.5,2.0e+20,7.5,444
12,3,3,0.5,5.0e+19,7.5,445
14,4,3,0.5,5.0e+19,22,446
16,2,2,1.5,2.0e+20,22,447
18,4,2,1.5,5.0e+19,22,448
10,4,4,0.5,5.0e+19,22,449
20,4,4,0.5,1.0e+20,22,450
12,4,3,1.5,1.0e+20,7.5,451
10,3,2,1.5,1.0e+20,7.5,452
16,3,3,1,5.0e+19,3.9,453
12,3,2,1.5,5.0e+19,22,454
20,3,2,1,5.0e+19,3.9,455
10,4,3,0.5,1.0e+20,22,456
12,4,2,0.5,2.0e+20,22,457
18,2,2,1.5,1.0e+20,7.5,458
10,3,2,1,2.0e+20,3.9,459
16,3,2,1.5,2.0e+20,22,460
18,3,2,1,5.0e+19,3.9,461
20,4,3,1.5,1.0e+20,3.9,462
18,3,2,0.5,1.0e+20,22,463
18,2,2,0.5,2.0e+20,22,464
16,4,2,0.5,5.0e+19,22,465
18,4,2,1,1.0e+20,7.5,466
14,4,2,1,1.0e+20,22,467
20,3,3,0.5,1.0e+20,22,468
16,4,4,1,2.0e+20,7.5,469
10,4,3,1.5,1.0e+20,3.9,470
10,3,2,1,1.0e+20,3.9,471
20,4,3,1,5.0e+19,7.5,472
12,3,2,1.5,1.0e+20,3.9,473
10,4,2,1.5,5.0e+19,22,474
14,2,2,1,1.0e+20,3.9,475
18,4,4,0.5,5.0e+19,22,476
16,2,2,1,1.0e+20,22,477
16,4,2,1,5.0e+19,7.5,478
14,4,4,1,1.0e+20,3.9,479
20,4,2,1,2.0e+20,22,480
10,3,2,0.5,2.0e+20,22,481
16,3,2,1.5,1.0e+20,22,482
14,4,3,1,1.0e+20,3.9,483
20,4,2,0.5,2.0e+20,22,484
18,4,3,1,5.0e+19,7.5,485
10,4,3,1,2.0e+20,7.5,486
18,4,3,0.5,2.0e+20,22,487
20,3,2,1.5,1.0e+20,7.5,488
14,4,2,1.5,2.0e+20,22,489
20,3,2,1.5,5.0e+19,22,490
18,3,3,1.5,5.0e+19,22,491
14,3,2,0.5,5.0e+19,22,492
16,2,2,1,2.0e+20,3.9,493
20,3,2,1,5.0e+19,22,494
12,3,2,1.5,2.0e+20,7.5,495
10,3,3,0.5,1.0e+20,7.5,496
16,4,4,0.5,5.0e+19,7.5,497
16,2,2,0.5,1.0e+20,7.5,498
12,4,2,0.5,1.0e+20,7.5,499
14,3,3,0.5,2.0e+20,3.9,500
16,4,4,1.5,5.0e+19,22,501
14,4,4,1,5.0e+19,7.5,502
10,2,2,0.5,2.0e+20,22,503
12,4,3,1.5,5.0e+19,22,504
12,4,3,0.5,2.0e+20,7.5,505
12,3,2,1,5.0e+19,3.9,506
16,2,2,1.5,5.0e+19,3.9,507
12,4,4,1.5,1.0e+20,7.5,508
12,3,3,0.5,2.0e+20,22,509
14,4,2,1.5,2.0e+20,3.9,510
14,2,2,0.5,5.0e+19,22,511
16,4,3,1.5,2.0e+20,22,512
12,4,4,1.5,2.0e+20,22,513
16,3,3,1.5,2.0e+20,3.9,514
18,4,3,0.5,2.0e+20,7.5,515
18,3,2,1,1.0e+20,7.5,516
14,4,4,1.5,5.0e+19,7.5,517
20,3,2,0.5,5.0e+19,3.9,518
10,3,2,0.5,2.0e+20,7.5,519
20,2,2,1.5,5.0e+19,22,520
20,4,2,0.5,1.0e+20,3.9,521
16,3,3,0.5,5.0e+19,22,522
20,4,4,1.5,1.0e+20,3.9,523
12,4,2,1.5,1.0e+20,22,524
12,4,4,1,1.0e+20,22,525
14,3,3,1,2.0e+20,3.9,526
16,4,2,0.5,2.0e+20,3.9,527
18,3,2,1.5,2.0e+20,7.5,528
10,3,3,1,1.0e+20,22,529
10,4,3,1.5,2.0e+20,7.5,530
20,4,3,1.5,5.0e+19,3.9,531
20,4,4,1,5.0e+19,22,532
14,2,2,0.5,5.0e+19,3.9,533
12,3,3,1.5,1.0e+20,7.5,534
20,2,2,1,5.0e+19,3.9,535
14,3,2,1,1.0e+20,7.5,536
18,3,3,0.5,1.0e+20,22,537
14,2,2,1.5,1.0e+20,7.5,538
10,2,2,1,1.0e+20,7.5,539
10,4,2,1.5,1.0e+20,7.5,540
20,3,2,0.5,1.0e+20,22,541
10,4,4,1,1.0e+20,7.5,542
18,4,2,1,2.0e+20,7.5,543
16,4,3,1,5.0e+19,22,544
18,3,2,1,2.0e+20,22,545
14,2,2,1,5.0e+19,22,546
10,4,4,0.5,1.0e+20,7.5,547
10,4,3,1,1.0e+20,7.5,548
10,4,2,1,5.0e+19,7.5,549
10,4,2,0.5,1.0e+20,22,550
18,2,2,1,5.0e+19,3.9,551
10,2,2,1,2.0e+20,3.9,552
20,3,3,1.5,1.0e+20,3.9,553
20,4,2,1,2.0e+20,7.5,554
10,4,4,1,5.0e+19,22,555
18,4,2,1,5.0e+19,22,556
18,4,4,0.5,1.0e+20,22,557
16,4,3,1,2.0e+20,7.5,558
16,3,3,1,2.0e+20,22,559
12,4,3,0.5,1.0e+20,3.9,560
18,3,2,0.5,5.0e+19,7.5,561
16,4,2,1.5,5.0e+19,3.9,562
14,3,2,1,5.0e+19,3.9,563
10,3,2,0.5,1.0e+20,3.9,564
20,4,3,0.5,2.0e+20,3.9,565
14,2,2,1.5,2.0e+20,3.9,566
10,4,3,0.5,5.0e+19,7.5,567
14,3,2,0.5,1.0e+20,22,568
18,4,3,1.5,5.0e+19,7.5,569
16,3,3,0.5,5.0e+19,3.9,570
18,4,4,1,2.0e+20,22,571
10,4,2,1,2.0e+20,22,572
12,4,4,1,5.0e+19,7.5,573
10,3,2,1.5,5.0e+19,7.5,574
20,3,2,1.5,2.0e+20,3.9,575
18,2,2,0.5,1.0e+20,3.9,576
14,4,4,0.5,2.0e+20,7.5,577
16,2,2,0.5,2.0e+20,3.9,578
12,3,3,1,2.0e+20,3.9,579
12,4,3,1.5,5.0e+19,7.5,580
18,2,2,1,1.0e+20,3.9,581
14,4,2,0.5,5.0e+19,3.9,582
18,4,4,1,1.0e+20,3.9,583
20,4,3,0.5,1.0e+20,7.5,584
10,3,2,1,5.0e+19,22,585
16,4,4,1.5,2.0e+20,7.5,586
12,3,2,0.5,5.0e+19,7.5,587
18,4,3,1,1.0e+20,3.9,588
14,3,3,1.5,5.0e+19,3.9,589
12,4,3,1,1.0e+20,22,590
10,3,3,1,1.0e+20,7.5,591
12,4,4,1,5.0e+19,22,592
10,4,3,0.5,1.0e+20,7.5,593
12,3,2,0.5,1.0e+20,7.5,594
14,3,2,0.5,2.0e+20,3.9,595
10,4,4,1.5,5.0e+19,3.9,596
12,4,3,1.5,1.0e+20,22,597
20,4,4,1.5,2.0e+20,7.5,598
14,3,3,1,2.0e+20,22,599
12,3,3,1.5,2.0e+20,7.5,600
18,2,2,1.5,5.0e+19,7.5,601
14,4,3,1,5.0e+19,7.5,602
14,4,3,1.5,2.0e+20,3.9,603
20,2,2,0.5,2.0e+20,3.9,604
10,2,2,0.5,5.0e+19,7.5,605
18,4,4,1,1.0e+20,22,606
18,4,4,0.5,5.0e+19,3.9,607
12,2,2,1,5.0e+19,3.9,608
12,4,2,0.5,2.0e+20,7.5,609
14,4,2,1,1.0e+20,7.5,610
14,4,3,1,5.0e+19,22,611
10,3,3,0.5,2.0e+20,7.5,612
20,3,3,0.5,5.0e+19,3.9,613
16,2,2,1,5.0e+19,22,614
20,3,2,0.5,1.0e+20,3.9,615
20,4,3,1,1.0e+20,22,616
12,4,4,0.5,5.0e+19,3.9,617
12,4,2,1,2.0e+20,7.5,618
18,4,2,0.5,2.0e+20,7.5,619
16,3,2,1.5,2.0e+20,3.9,620
20,4,2,1.5,5.0e+19,3.9,621
10,4,2,1.5,2.0e+20,7.5,622
18,3,3,1.5,2.0e+20,7.5,623
16,4,3,0.5,2.0e+20,3.9,624
12,2,2,1.5,5.0e+19,7.5,625
20,4,4,1,5.0e+19,7.5,626
12,3,2,1,5.0e+19,22,627
10,3,3,1.5,1.0e+20,3.9,628
16,2,2,1.5,1.0e+20,3.9,629
12,4,2,1.5,1.0e+20,3.9,630
10,3,3,1,5.0e+19,3.9,631
16,4,4,1.5,1.0e+20,22,632
18,3,3,1,2.0e+20,3.9,633
12,4,4,0.5,1.0e+20,3.9,634
18,4,4,1,5.0e+19,7.5,635
18,3,3,1,1.0e+20,3.9,636
16,3,3,1.5,1.0e+20,22,637
20,4,2,1.5,1.0e+20,7.5,638
10,4,4,1,2.0e+20,7.5,639
12,4,2,1,2.0e+20,22,640
16,3,2,1,2.0e+20,3.9,641
