lg_nw,w_nw,h_nw,t_ox,N_sd,eps_ox,index
18,4,3,1.5,2.0e+20,22,71
14,4,2,0.5,2.0e+20,22,72
18,3,3,0.5,2.0e+20,3.9,73
20,3,2,0.5,5.0e+19,22,74
12,2,2,0.5,5.0e+19,3.9,75
14,2,2,1,2.0e+20,7.5,76
16,4,3,1.5,2.0e+20,7.5,77
12,4,4,0.5,1.0e+20,22,78
20,3,3,1,5.0e+19,22,79
18,3,3,0.5,5.0e+19,22,80
10,4,2,0.5,2.0e+20,3.9,81
20,4,2,0.5,5.0e+19,7.5,82
14,3,2,1.5,5.0e+19,22,83
12,3,3,0.5,2.0e+20,3.9,84
10,4,2,0.5,5.0e+19,22,85
18,4,4,1.5,5.0e+19,22,86
18,2,2,0.5,5.0e+19,3.9,87
14,4,2,1,5.0e+19,3.9,88
12,3,3,0.5,1.0e+20,22,89
14,3,2,1.5,2.0e+20,7.5,90
12,2,2,0.5,1.0e+20,3.9,91
20,4,4,0.5,2.0e+20,3.9,92
16,4,2,0.5,1.0e+20,3.9,93
10,4,4,0.5,5.0e+19,7.5,94
14,3,3,0.5,1.0e+20,3.9,95
10,3,2,1.5,2.0e+20,22,96
20,3,2,1,1.0e+20,22,97
16,4,4,1.5,1.0e+20,3.9,98
18,4,4,1.5,5.0e+19,7.5,99
18,4,3,0.5,1.0e+20,3.9,100
12,4,2,1.5,2.0e+20,3.9,101
20,4,3,1,2.0e+20,22,102
16,2,2,1.5,1.0e+20,22,103
10,2,2,1.5,5.0e+19,3.9,104
20,2,2,1.5,2.0e+20,7.5,105
14,4,3,0.5,2.0e+20,7.5,106
14,2,2,1.5,5.0e+19,22,107
16,4,3,0.5,2.0e+20,22,108
12,4,4,0.5,2.0e+20,22,109
16,4,3,0.5,1.0e+20,22,110
20,2,2,0.5,5.0e+19,22,111
20,3,2,1,2.0e+20,7.5,112
16,3,3,1.5,5.0e+19,22,113
16,3,3,1,2.0e+20,7.5,114
12,4,4,1,1.0e+20,7.5,115
16,4,4,1,5.0e+19,3.9,116
16,4,4,0.5,5.0e+19,22,117
16,3,2,1.5,1.0e+20,7.5,118
12,2,2,1,1.0e+20,7.5,119
10,2,2,1.5,2.0e+20,22,120
12,4,3,0.5,5.0e+19,22,121
16,4,3,1,1.0e+20,22,122
14,4,3,1.5,1.0e+20,7.5,123
16,3,2,1,1.0e+20,7.5,124
18,3,2,1,2.0e+20,7.5,125
12,4,3,1,1.0e+20,7.5,126
18,3,3,1.5,1.0e+20,7.5,127
12,3,3,1.5,2.0e+20,22,128
10,3,2,1,5.0e+19,7.5,129
20,4,4,1,2.0e+20,7.5,130
20,3,2,1.5,2.0e+20,22,131
16,4,4,0.5,1.0e+20,22,132
20,3,2,1,2.0e+20,22,133
18,3,3,1.5,2.0e+20,22,134
14,3,2,0.5,2.0e+20,22,135
10,3,3,1,2.0e+20,3.9,136
20,4,2,0.5,5.0e+19,22,137
18,3,3,1,5.0e+19,3.9,138
18,4,3,0.5,5.0e+19,22,139
14,4,2,1.5,5.0e+19,22,140
10,3,2,0.5,5.0e+19,22,141
18,4,4,1,2.0e+20,7.5,142
20,4,2,1,5.0e+19,22,143
12,2,2,1.5,1.0e+20,22,144
14,4,4,0.5,1.0e+20,7.5,145
10,4,4,1,5.0e+19,7.5,146
18,3,2,1.5,1.0e+20,7.5,147
16,4,3,1,1.0e+20,7.5,148
16,3,3,1,1.0e+20,22,149
14,4,4,1,1.0e+20,22,150
14,4,2,1.5,1.0e+20,7.5,151
16,3,2,1,5.0e+19,3.9,152
10,4,2,1.5,2.0e+20,22,153
18,4,4,0.5,2.0e+20,22,154
10,2,2,1.5,1.0e+20,7.5,155
16,2,2,1,1.0e+20,7.5,156
16,3,3,1.5,1.0e+20,7.5,157
16,3,3,0.5,1.0e+20,22,158
12,3,2,1,1.0e+20,7.5,159
20,3,3,1,5.0e+19,3.9,160
16,4,4,1,1.0e+20,7.5,161
14,3,2,0.5,5.0e+19,3.9,162
16,3,3,0.5,2.0e+20,22,163
20,4,4,1.5,5.0e+19,7.5,164
10,4,4,1.5,2.0e+20,3.9,165
20,4,4,1,2.0e+20,22,166
18,2,2,1.5,2.0e+20,7.5,167
20,4,3,1,1.0e+20,3.9,168
12,3,3,1.5,5.0e+19,7.5,169
14,4,3,1,2.0e+20,7.5,170
10,2,2,0.5,2.0e+20,7.5,171
20,2,2,0.5,5.0e+19,3.9,172
14,4,3,1.5,5.0e+19,3.9,173
14,2,2,0.5,2.0e+20,22,174
20,2,2,1,1.0e+20,3.9,175
16,4,3,1.5,5.0e+19,22,176
12,4,4,1.5,5.0e+19,22,177
12,4,3,0.5,1.0e+20,22,178
18,4,4,0.5,2.0e+20,3.9,179
12,4,2,0.5,5.0e+19,7.5,180
12,2,2,1,2.0e+20,3.9,181
10,2,2,1,1.0e+20,22,182
20,4,4,1,1.0e+20,3.9,183
20,2,2,1.5,2.0e+20,22,184
20,3,3,0.5,2.0e+20,3.9,185
10,3,3,0.5,5.0e+19,7.5,186
18,4,2,0.5,1.0e+20,3.9,187
12,3,3,0.5,5.0e+19,22,188
12,4,2,1,5.0e+19,7.5,189
12,4,4,0.5,2.0e+20,3.9,190
16,3,2,1.5,5.0e+19,3.9,191
18,4,2,0.5,5.0e+19,7.5,192
10,4,2,1.5,5.0e+19,7.5,193
20,4,2,1.5,2.0e+20,3.9,194
18,4,4,1.5,1.0e+20,3.9,195
14,3,2,0.5,1.0e+20,3.9,196
20,4,2,1,1.0e+20,22,197
16,4,3,0.5,1.0e+20,3.9,198
12,2,2,1.5,2.0e+20,7.5,199
16,4,4,1.5,2.0e+20,22,200
16,4,3,0.5,5.0e+19,3.9,201
18,3,3,1.5,5.0e+19,7.5,202
10,2,2,0.5,5.0e+19,22,203
12,4,3,1.5,2.0e+20,22,204
20,4,3,1.5,2.0e+20,22,205
14,3,2,1,2.0e+20,3.9,206
16,4,2,1.5,2.0e+20,3.9,207
18,3,2,0.5,2.0e+20,7.5,208
14,4,3,0.5,2.0e+20,22,209
16,2,2,1.5,5.0e+19,22,210
10,4,3,0.5,2.0e+20,7.5,211
14,2,2,1.5,5.0e+19,3.9,212
20,4,3,0.5,5.0e+19,3.9,213
18,4,2,1.5,2.0e+20,22,214
10,4,4,0.5,2.0e+20,22,215
20,3,3,0.5,5.0e+19,22,216
14,3,2,1.5,1.0e+20,22,217
16,3,3,0.5,2.0e+20,3.9,218
18,4,3,1.5,2.0e+20,7.5,219
12,4,4,1,2.0e+20,7.5,220
14,3,3,1.5,5.0e+19,22,221
18,3,2,0.5,5.0e+19,22,222
20,3,2,1.5,5.0e+19,3.9,223
10,3,2,1.5,2.0e+20,7.5,224
14,4,4,0.5,5.0e+19,7.5,225
12,4,2,1,1.0e+20,22,226
12,4,3,1.5,2.0e+20,7.5,227
12,3,3,1,5.0e+19,3.9,228
16,2,2,0.5,5.0e+19,3.9,229
14,4,4,0.5,5.0e+19,22,230
10,4,3,0.5,5.0e+19,22,231
12,2,2,1.5,2.0e+20,22,232
12,4,2,1,1.0e+20,7.5,233
14,4,2,0.5,2.0e+20,3.9,234
18,3,3,0.5,1.0e+20,7.5,235
20,4,4,1.5,5.0e+19,22,236
16,3,2,0.5,1.0e+20,7.5,237
16,4,4,1.5,5.0e+19,7.5,238
16,3,3,1,1.0e+20,7.5,239
10,3,3,1.5,2.0e+20,22,240
14,4,3,0.5,1.0e+20,7.5,241
12,3,2,0.5,2.0e+20,7.5,242
14,3,3,1.5,2.0e+20,3.9,243
18,2,2,0.5,5.0e+19,22,244
16,4,2,0.5,2.0e+20,22,245
20,2,2,1,2.0e+20,3.9,246
18,4,2,1,5.0e+19,7.5,247
16,3,2,1.5,5.0e+19,22,248
20,3,3,1,1.0e+20,3.9,249
20,3,2,1.5,1.0e+20,22,250
18,3,3,1.5,1.0e+20,22,251
10,4,2,1,2.0e+20,7.5,252
20,2,2,1.5,1.0e+20,7.5,253
18,4,4,1.5,1.0e+20,22,254
18,2,2,1,2.0e+20,3.9,255
16,4,4,0.5,1.0e+20,3.9,256
10,2,2,1,5.0e+19,3.9,257
12,4,2,0.5,5.0e+19,22,258
18,4,3,1.5,1.0e+20,3.9,259
16,4,2,1.5,1.0e+20,3.9,260
12,2,2,1.5,1.0e+20,3.9,261
20,4,2,1,5.0e+19,7.5,262
14,3,3,1.5,1.0e+20,3.9,263
12,3,2,1.5,2.0e+20,22,264
16,4,3,1,5.0e+19,7.5,265
10,4,2,1.5,1.0e+20,22,266
20,4,3,1,5.0e+19,22,267
12,4,4,1,5.0e+19,3.9,268
10,3,2,1.5,5.0e+19,22,269
14,4,4,0.5,2.0e+20,3.9,270
20,3,2,1.5,2.0e+20,7.5,271
18,2,2,0.5,1.0e+20,7.5,272
10,3,2,1.5,5.0e+19,3.9,273
12,3,2,1.5,1.0e+20,22,274
18,4,3,1.5,5.0e+19,3.9,275
16,3,3,0.5,5.0e+19,7.5,276
10,4,3,0.5,5.0e+19,3.9,277
20,4,3,0.5,2.0e+20,7.5,278
14,2,2,1.5,2.0e+20,7.5,279
10,4,2,0.5,2.0e+20,22,280
18,4,4,1.5,2.0e+20,22,281
18,3,2,0.5,5.0e+19,3.9,282
16,4,2,1.5,5.0e+19,7.5,283
14,3,2,1,5.0e+19,7.5,284
12,4,3,0.5,1.0e+20,7.5,285
10,3,2,0.5,1.0e+20,7.5,286
20,3,2,0.5,2.0e+20,22,287
18,4,3,1,1.0e+20,7.5,288
14,3,3,1.5,5.0e+19,7.5,289
18,3,3,0.5,2.0e+20,22,290
14,3,2,1.5,2.0e+20,22,291
12,3,2,0.5,5.0e+19,3.9,292
16,4,4,1.5,2.0e+20,3.9,293
20,3,3,1,2.0e+20,22,294
20,4,2,1.5,5.0e+19,22,295
18,4,4,1,1.0e+20,7.5,296
14,4,2,0.5,5.0e+19,7.5,297
20,4,3,0.5,1.0e+20,3.9,298
10,4,3,1,1.0e+20,22,299
